T,err,phase,pos,neg,A_bkgd,pos,neg,field,pos,neg,rlx_ag,pos,neg,alpha,pos,neg,beta,pos,neg,A_sample,pos,neg,rlx_static,pos,neg,A_plateau,pos,neg,phaseCe1,pos,neg,fieldCe1,pos,neg,A_Ce1,pos,neg,rlx_Ce1,pos,neg,phaseCe2,pos,neg,fieldCe2,pos,neg,A_Ce2,pos,neg,rlx_Ce2,pos,neg,betaExp,pos,neg,CHISQ,NDF,CHISQRED,RUN,A_static,pos
0.019,0,0,0,0,0.13877,0,0,0,0,0,0.0091,0,0,1.0746,0,0,1.259,0,0,0.06371,0,0,0.417,0.029,0.032,0.0086,0.0019,0.0023,0,0,0,120.6,4.6,4.1,0.00396,0.00077,0.00075,1.05,0.41,0.31,0,0,0,48.7,1.3,1.2,0.00134,0.00066,0.00033,1.80E-05,0.201,1.80E-05,1.054,0.081,0.068,364.6,348,1.0477,"5,813",0.05841,0.002153718
0.056,0,0,0,0,0.1495,0,0,0,0,0,0.0091,0,0,0.9632,0,0,1.2276,0,0,0.05355,0,0,0.575,0.017,0.017,0.01139,0.00057,0.00062,0,0,0,131.8,3.3,3.1,0.00353,0.00045,0.00044,0.85,0.22,0.18,0,0,0,47.21,0.66,0.62,0.00253,0.00055,0.00048,0.095,0.102,0.087,1.326,0.078,0.073,403.7,348,1.16006,"5,138",0.04749,0.000910988
0.115,0,0,0,0,0.1495,0,0,0,0,0,0.0091,0,0,0.9632,0,0,1.2276,0,0,0.05355,0,0,0.598,0.022,0.021,0.00887,0.00069,0.0008,0,0,0,122.3,2.6,2.8,0.00492,0.00066,0.00068,1.24,0.35,0.29,0,0,0,46.5,1.4,1.1,0.00203,0.00117,0.00081,0.24,0.35,0.24,1.17,0.109,0.098,392.1,348,1.12672,"5,137",0.0466,0.001510166
0.227,0,0,0,0,0.13877,0,0,0,0,0,0.0091,0,0,1.0746,0,0,1.259,0,0,0.06371,0,0,0.44,0.025,0.03,0.0103,0.0018,0.0023,0,0,0,132,2.8,3.5,0.00451,0.00081,0.00095,0.91,0.41,0.31,0,0,0,48.4,3.2,1.8,0.0028,0.0032,0.0012,0.38,1.1,0.43,1.14,0.18,0.12,347.7,348,0.999138,"5,812",0.0564,0.003759801
0.228,0,0,0,0,0.1495,0,0,0,0,0,0.0091,0,0,0.9632,0,0,1.2276,0,0,0.05355,0,0,0.628,0.03,0.03,0.01459,0.00084,0.0009,0,0,0,127.2,4,3.9,0.00432,0.00071,0.00071,0.68,0.25,0.2,0,0,0,45.4,1.1,1.1,0.00161,0.00046,0.00046,1.40E-07,0.0698,1.40E-07,1.51,0.14,0.13,374.4,348,1.07586,"5,136",0.04762,0.001192183
0.423,0,0,0,0,0.13877,0,0,0,0,0,0.0091,0,0,1.0746,0,0,1.259,0,0,0.06371,0,0,0.483,0.023,0.024,0.0146,0.0011,0.0013,0,0,0,135.5,3,3.8,0.0038,0.0011,0.0012,0.8,0.53,0.38,0,0,0,47.2,2.8,4.4,0.007,0.0032,0.0024,1.14,0.77,0.51,1.46,0.22,0.18,395.6,348,1.13678,"5,816",0.05291,0.003558089
0.427,0,0,0,0,0.1495,0,0,0,0,0,0.0091,0,0,0.9632,0,0,1.2276,0,0,0.05355,0,0,0.605,0.02,0.019,0.00994,0.00057,0.00062,0,0,0,118.2,4.9,5.2,0.00613,0.0007,0.0007,2.02,0.56,0.42,0,0,0,44.04,0.72,0.69,0.00258,0.00079,0.00066,0.11,0.14,0.11,1.4,0.12,0.11,376.1,348,1.08075,"5,142",0.04484,0.001199583
0.999,0,0,0,0,0.13877,0,0,0,0,0,0.0091,0,0,1.0746,0,0,1.259,0,0,0.06371,0,0,0.476,0.024,0.026,0.013,0.0013,0.0016,0,0,0,110,4.2,4,0.00526,0.00084,0.00085,1.32,0.45,0.34,0,0,0,47.4,1.2,1.1,0.00143,0.00056,0.00034,0,3.2,3.2,1.179,0.094,0.085,337.8,348,0.97069,"5,811",0.05702,0.001645965
1.195,0,0,0,0,0.1495,0,0,0,0,0,0.0091,0,0,0.9632,0,0,1.2276,0,0,0.05355,0,0,0.551,0.029,0.03,0.0073,0.0012,0.0015,0,0,0,116.9,3.1,4.3,0.00432,0.00099,0.00102,0.83,0.48,0.35,0,0,0,45.1,1.1,1.1,0.00235,0.00108,0.00078,0.09,0.205,0.09,1.22,0.15,0.14,355.7,348,1.02213,"5,139",0.04688,0.001893806
1.497,0,0,0,0,0.1495,0,0,0,0,0,0.0091,0,0,0.9632,0,0,1.2276,0,0,0.05355,0,0,0.595,0.021,0.022,0.01184,0.00052,0.00055,0,0,0,100.3,4.6,3.6,0.00315,0.00048,0.00049,0.79,0.24,0.2,0,0,0,38.7,1.8,1.9,0.0032,0.0017,0.0012,0.5,0.34,0.26,1.58,0.19,0.14,357.7,348,1.02787,"5,141",0.0472,0.001841413
1.799,0,0,0,0,0.1495,0,0,0,0,0,0.0091,0,0,0.9632,0,0,1.2276,0,0,0.05355,0,0,0.573,0.015,0.016,0.01217,0.00038,0.00039,0,0,0,78,1.8,3.1,0.00313,0.00076,0.00067,0.46,0.29,0.19,0,0,0,32.92,0.97,0.94,0.0049,0.0011,0.0012,0.44,0.25,0.2,1.9999977,2.30E-06,0.0876,416.1,348,1.19569,"5,140",0.04552,0.001389964
2.05,0,0,0,0,0.13877,0,0,0,0,0,0.0091,0,0,1.0746,0,0,1.259,0,0,0.06371,0,0,0.449,0.019,0.019,0.0177,0.0012,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.521,0.073,0.07,436.1,354,1.23192,"5,810",0.06371,0.0012
4.012,0,0,0,0,0.13877,0,0,0,0,0,0.0091,0,0,1.0746,0,0,1.259,0,0,0.06371,0,0,0.2763,0.0035,0.0027,5.40E-11,0.000617,5.40E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.937,0.043,0.042,304.3,354,0.859605,"5,809",0.06371,0.000617
